name,system,version
superlu-dist,borg,"8.2.1-mpi, 8.2.1-gpu-mpi, 7.2.0-mpi, 7.2.0-gpu-mpi"
swift-t,borg,1.6.5
swig,borg,"4.0.2-fortran, 4.1.1-fortran, 4.1.1"
sz,borg,2.1.12.5
tasmanian,borg,"7.7, 8.0-gpu, 8.0, 7.7-gpu"
tau,borg,2.33.2-mpi
tmux,borg,3.4
trilinos,borg,"14.4.0-gpu-mpi, 15.1.1-mpi, 13.2.0-mpi, 15.1.1-gpu-mpi"
umpire,borg,"2024.02.0, 6.0.0, 2024.02.0-gpu"
unifyfs,borg,2.0-mpi
upcxx,borg,"2023.9.0, 2023.9.0-gpu, 2022.3.0, 2022.3.0-gpu"
valgrind4hpc,borg,"2.13.2, 2.12.10, 2.13.1, 2.13.0, 2.13.4, 2.13.3"
vim,borg,9.0.0045
visit,borg,3.3.3-mpi
vtk-m,borg,"2.1.0-omp, 1.7.1-omp"
wget,borg,1.21.3
xpmem,borg,2.8.4-1.0_7.3__ga37cbd9.shasta
zlib,borg,1.3.1
